carrierId,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY,mesoZone,vehicleTypeIdOrig,vehicleIdOrig
7366292-1-mdv,b2b-16957,ft-868b26,ft-mdv-Dsl,530330109001,-122.3069861558878,47.53067185195029,530330109001.0,mdv_D_Diesel,b2b--c33-21695
7366292-1-mdv,b2b-16958,ft-7ec605,ft-mdv-Dsl,530330109001,-122.3069861558878,47.53067185195029,530330109001.0,mdv_D_Diesel,b2b--c33-21880
7366292-1-mdv,b2b-16974,ft-7a2b55,ft-mdv-Dsl,530330109001,-122.3069861558878,47.53067185195029,530330109001.0,mdv_D_Diesel,b2b--c33-21896
6365473-1-mdv,b2b-16988,ft-a76ca2,ft-mdv-Dsl,530330006001,-122.33976967551065,47.723288535709735,530330006001.0,mdv_D_Diesel,b2b--c33-21909
6365473-1-mdv,b2b-16998,ft-0c8024,ft-mdv-Dsl,530330006001,-122.33976967551065,47.723288535709735,530330006001.0,mdv_D_Diesel,b2b--c33-21920
6365473-1-mdv,b2b-17004,ft-b01176,ft-mdv-Dsl,530330006001,-122.33976967551065,47.723288535709735,530330006001.0,mdv_D_Diesel,b2b--c33-22032
6365473-1-mdv,b2b-17007,ft-4e7c47,ft-mdv-Dsl,530330006001,-122.33976967551065,47.723288535709735,530330006001.0,mdv_D_Diesel,b2b--c33-22035
6365473-1-mdv,b2b-17008,ft-66b5ad,ft-mdv-Dsl,530330006001,-122.33976967551065,47.723288535709735,530330006001.0,mdv_D_Diesel,b2b--c33-22036
6365473-1-mdv,b2b-17010,ft-14bb0b,ft-mdv-Dsl,530330006001,-122.33976967551065,47.723288535709735,530330006001.0,mdv_D_Diesel,b2b--c33-22038
6365473-1-mdv,b2b-17011,ft-f04ee4,ft-mdv-Dsl,530330006001,-122.33976967551065,47.723288535709735,530330006001.0,mdv_D_Diesel,b2b--c33-22039
6314595-1-mdv,b2b-17022,ft-ae52e5,ft-mdv-Gas,530610533014,-122.37084123709289,48.248501113238994,530299704001.0,mdv_G_Gasoline,b2b--c33-22050
7455812-1-mdv,b2b-17035,ft-86d70a,ft-mdv-Dsl,530330228033,-122.13878847086465,47.63469171287689,530330228033.0,mdv_D_Diesel,b2b--c33-22125
7456402-1-mdv,b2b-17046,ft-094af5,ft-mdv-Dsl,530610537001,-121.3129665338595,48.04696927699508,530630136002.0,mdv_D_Diesel,b2b--c33-22171
7456402-1-mdv,b2b-17047,ft-50c271,ft-mdv-Dsl,530610537001,-121.3129665338595,48.04696927699508,530630136002.0,mdv_D_Diesel,b2b--c33-22172
6367477-1-mdv,b2b-17051,ft-f6e383,ft-mdv-Dsl,530330099004,-122.36624218302542,47.57143401177773,530330099004.0,mdv_D_Diesel,b2b--c33-22181
6317414-1-mdv,b2b-17073,ft-54705f,ft-mdv-Dsl,530330305011,-122.2267494404054,47.343537767516544,530330305011.0,mdv_D_Diesel,b2b--c33-22279
6316243-1-hdt,b2b-17089,ft-1d0022,ft-hdv-Dsl,530330305011,-122.22497924774048,47.32984769167292,530330305011.0,hdv_D_Diesel,b2b--c33-22294
6316243-1-hdt,b2b-17100,ft-74e146,ft-hdt-Dsl,530330305011,-122.22497924774048,47.32984769167292,530330305011.0,hdt_D_Diesel,b2b--c33-22305
6316243-1-hdt,b2b-17103,ft-4f194a,ft-hdt-Dsl,530330305011,-122.22497924774048,47.32984769167292,530330305011.0,hdt_D_Diesel,b2b--c33-22308
6316243-1-hdt,b2b-17123,ft-1a2ab0,ft-hdt-Dsl,530330305011,-122.22497924774048,47.32984769167292,530330305011.0,hdt_D_Diesel,b2b--c33-22534
6316243-1-hdt,b2b-17131,ft-6bb6f3,ft-hdt-Dsl,530330305011,-122.22497924774048,47.32984769167292,530330305011.0,hdt_D_Diesel,b2b--c33-22542
