taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls
,Public,noCharger,non-res,,,-122.3437677,47.61382837650004,526046,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3410017,47.61772267900005,526119,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3454309,47.61753557600005,526224,Any,Block,0,6
,Public,noCharger,non-res,,,-122.340726,47.606831867500055,526279,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3468752,47.61299922100006,526318,Any,Block,0,4
,Public,noCharger,non-res,,,-122.340578,47.61466650150007,526362,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3461471,47.61375800850007,526368,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3386142,47.60412811100005,526386,Any,Block,0,11
,Public,noCharger,non-res,,,-122.3430281,47.61440003450005,526436,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3348541,47.60998514100004,526520,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3447109,47.61641787350004,526534,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3392816,47.604978855500065,526535,Any,Block,0,11
,Public,noCharger,non-res,,,-122.3556525,47.61819063150005,526618,Any,Block,0,4
,Public,noCharger,non-res,,,-122.349094,47.61304572950007,526631,Any,Block,0,2
,Public,noCharger,non-res,,,-122.34227,47.61544821700005,526645,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3457386,47.61585222450003,526714,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3209011,47.609640710000036,526764,Any,Block,0,3
,Public,noCharger,non-res,,,-122.345588,47.61576046150006,526789,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3234447,47.603231744000055,526798,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3356766,47.60112264150004,526846,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3180097,47.612738373500065,526866,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3340453,47.595136198000034,526912,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3431255,47.61432473400006,526982,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3456586,47.61570579500005,526987,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3447108,47.61289500500007,527090,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3557225,47.61813640700004,527120,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3407777,47.61456610450006,527133,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3278165,47.602069853000074,527134,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3555892,47.61823969100004,527182,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3461516,47.61776525500005,527217,Any,Block,0,5
,Public,noCharger,non-res,,,-122.339844,47.616849323000054,527218,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3472445,47.614479715000044,527275,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3469305,47.61820453500005,527301,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3444196,47.61509785650006,527434,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3490269,47.613097701000044,527442,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3528269,47.613587618000054,527461,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3460138,47.61365286000006,527464,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3442062,47.613489244500045,527542,Any,Block,0,6
,Public,noCharger,non-res,,,-122.322097,47.610909149000065,527559,Any,Block,0,10
,Public,noCharger,non-res,,,-122.3554512,47.61809643300006,527563,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3225735,47.609515024000046,527676,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3377798,47.61157951150006,527699,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3431689,47.61480727700007,527836,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3423199,47.612976851500065,527853,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3493326,47.617970853500054,527867,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3206325,47.60473652750005,527894,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3206466,47.61332315800005,527949,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3333203,47.604011419000074,527957,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3234114,47.60704340000004,528010,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3300004,47.60307995300005,528019,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3435465,47.612207495000035,528081,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3206344,47.60507088700007,528092,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3262673,47.600182678000074,528107,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3243595,47.60763984900004,528147,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3295866,47.60541848450006,528183,Any,Block,0,9
,Public,noCharger,non-res,,,-122.3269306,47.60756048650006,528184,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3206248,47.60208070650003,528202,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3378681,47.60394421150005,528223,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3416981,47.61345336550005,528237,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3198065,47.61259928600006,528246,Any,Block,0,5
,Public,noCharger,non-res,,,-122.326417,47.60136297750006,528319,Any,Block,0,3
