"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(10, 15]","(-20, -19]","(23129.252, 23582.766]",-7.66121985438936
"(10, 15]","(-20, -19]","(23582.766, 24036.281]",-7.66121985438936
"(10, 15]","(-20, -19]","(24036.281, 24489.796]",-7.66121985438936
"(10, 15]","(-20, -19]","(24489.796, 24943.311]",-7.66121985438936
"(10, 15]","(-20, -19]","(24943.311, 25396.825]",-7.66121985438936
"(10, 15]","(-20, -19]","(25396.825, 25850.34]",-7.66121985438936
"(10, 15]","(-20, -19]","(25850.34, 26303.855]",-7.66121985438936
"(10, 15]","(-20, -19]","(26303.855, 26757.37]",-7.66121985438936
"(10, 15]","(-20, -19]","(26757.37, 27210.884]",-7.66121985438936
"(10, 15]","(-20, -19]","(27210.884, 27664.399]",-7.66121985438936
"(10, 15]","(-20, -19]","(27664.399, 28117.914]",-7.58881859054906
"(10, 15]","(-20, -19]","(28117.914, 28571.429]",-7.58881859054906
"(10, 15]","(-20, -19]","(28571.429, 29024.943]",-7.58881859054906
"(10, 15]","(-20, -19]","(29024.943, 29478.458]",-7.58881859054906
"(10, 15]","(-20, -19]","(29478.458, 29931.973]",-7.58881859054906
"(10, 15]","(-20, -19]","(29931.973, 30385.488]",-7.58881859054906
"(10, 15]","(-20, -19]","(30385.488, 30839.002]",-7.57012643036572
"(10, 15]","(-20, -19]","(30839.002, 31292.517]",-7.57012643036572
"(10, 15]","(-20, -19]","(31292.517, 31746.032]",-7.57012643036572
"(10, 15]","(-20, -19]","(31746.032, 32199.546]",-7.57012643036572
"(10, 15]","(-20, -19]","(32199.546, 32653.061]",-7.57012643036572
"(10, 15]","(-20, -19]","(32653.061, 33106.576]",-7.57012643036572
"(10, 15]","(-20, -19]","(33106.576, 33560.091]",-7.57012643036572
"(10, 15]","(-20, -19]","(33560.091, 34013.605]",-7.57012643036572
"(10, 15]","(-20, -19]","(34013.605, 34467.12]",-7.57012643036572
"(10, 15]","(-20, -19]","(34467.12, 34920.635]",-7.57012643036572
"(10, 15]","(-20, -19]","(34920.635, 35374.15]",-7.57012643036572
"(10, 15]","(-20, -19]","(35374.15, 35827.664]",-7.57012643036572
"(10, 15]","(-20, -19]","(35827.664, 36281.179]",-7.35525835994812
"(15, 20]","(-20, -19]","(11337.868, 11791.383]",-6.0963388173736
"(15, 20]","(-20, -19]","(11791.383, 12244.898]",-6.0963388173736
"(15, 20]","(-20, -19]","(12244.898, 12698.413]",-6.0963388173736
"(15, 20]","(-20, -19]","(12698.413, 13151.927]",-6.0963388173736
"(15, 20]","(-20, -19]","(13151.927, 13605.442]",-6.0963388173736
"(15, 20]","(-20, -19]","(13605.442, 14058.957]",-6.0963388173736
"(15, 20]","(-20, -19]","(14058.957, 14512.472]",-6.0963388173736
"(15, 20]","(-20, -19]","(14512.472, 14965.986]",-6.0963388173736
"(15, 20]","(-20, -19]","(14965.986, 15419.501]",-6.0963388173736
"(15, 20]","(-20, -19]","(15419.501, 15873.016]",-6.55303581423057
"(15, 20]","(-20, -19]","(15873.016, 16326.531]",-6.61476401287245
"(15, 20]","(-20, -19]","(16326.531, 16780.045]",-6.61476401287245
"(15, 20]","(-20, -19]","(16780.045, 17233.56]",-6.61476401287245
"(15, 20]","(-20, -19]","(17233.56, 17687.075]",-6.61476401287245
"(15, 20]","(-20, -19]","(17687.075, 18140.59]",-6.61476401287245
