carrierId,tourId,vehicleId,vehicleTypeId,depotZone,depotX,depotY,mesoZone
68299333-1391hdv-d,b2b-5646,68299333-1391hdv-d-c33-155070,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299333-1392hdv-d,b2b-5647,68299333-1392hdv-d-c33-155098,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4413.0
68299341-1393md-d,b2b-5648,68299341-1393md-d-c33-155125,md-D-Diesel-2018-Baseline,3181,-122.7732991850508,47.18873328065026,4355.0
68299342-1394hdt-d,b2b-5649,68299342-1394hdt-d-c33-155162,hdt-D-Diesel-2018-Baseline,3181,-122.7732991850508,47.18873328065026,4355.0
68299343-1395hdv-d,b2b-5650,68299343-1395hdv-d-c33-155189,hdv-D-Diesel-2018-Baseline,3181,-122.7732991850508,47.18873328065026,4355.0
68299343-1395hdv-d,b2b-5651,68299343-1395hdv-d-c33-155187,hdv-D-Diesel-2018-Baseline,3181,-122.7732991850508,47.18873328065026,4355.0
68299343-1395hdv-d,b2b-5652,68299343-1395hdv-d-c33-155188,hdv-D-Diesel-2018-Baseline,3181,-122.7732991850508,47.18873328065026,4355.0
68299343-1396hdv-d,b2b-5653,68299343-1396hdv-d-c33-155216,hdv-D-Diesel-2018-Baseline,3181,-122.7732991850508,47.18873328065026,4355.0
68299351-1397md-d,b2b-5654,68299351-1397md-d-c33-155243,md-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,499.0
68299361-1398md-d,b2b-5655,68299361-1398md-d-c33-155270,md-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,624.0
68299371-1399md-d,b2b-5656,68299371-1399md-d-c33-155297,md-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,593.0
68299374-1400hdv-d,b2b-5657,68299374-1400hdv-d-c33-155298,hdv-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,593.0
68299381-1401md-d,b2b-5658,68299381-1401md-d-c33-155352,md-D-Diesel-2018-Baseline,3205,-122.38027170158556,46.92497151811019,642.0
