payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,weightInKg
b2b-all-2353883-1-4hdv-d-13-61-b2b1954,5,b2b-all-2353883-1-4hdv-d-13,1,1,1914,38160,24360,86400,840,-122.2103523458734,47.43106701656055,131.08819493000001
b2b-all-2353883-1-4hdv-d-13-61-b2b1953,6,b2b-all-2353883-1-4hdv-d-13,1,1,1610,40140,32400,86400,960,-122.10392764446604,47.587558031340656,130.63460256000002
b2b-all-2353883-1-4hdv-d-13-61-b2b1955,7,b2b-all-2353883-1-4hdv-d-13,1,1,3736,44340,37800,86400,840,-121.98791132131748,47.86791195541805,131.08819493000001
b2b-all-2353883-1-4hdv-d-13-61-db2b13-,8,b2b-all-2353883-1-4hdv-d-13,1,1,3566,47820,0,0,0,-122.33359427912666,47.80462786419155,0.0
b2b-all-2353887-1-5hdv-d-14-61-db2b14,0,b2b-all-2353887-1-5hdv-d-14,1,1,3754,47880,0,0,0,-121.96997707108169,47.85466090083877,525.25996446
b2b-all-2353887-1-5hdv-d-14-61-b2b1946,1,b2b-all-2353887-1-5hdv-d-14,1,1,2349,53040,29400,86400,1020,-121.33704005177788,47.76891995450293,130.63460256000002
b2b-all-2353887-1-5hdv-d-14-61-b2b1949,2,b2b-all-2353887-1-5hdv-d-14,1,1,1586,59160,34200,86400,480,-122.09722141623996,47.64163887019463,131.5417873
b2b-all-2353887-1-5hdv-d-14-61-b2b1948,3,b2b-all-2353887-1-5hdv-d-14,1,1,1634,60240,22500,86400,300,-122.2032379096505,47.611469558601385,131.5417873
b2b-all-2353887-1-5hdv-d-14-61-b2b1947,4,b2b-all-2353887-1-5hdv-d-14,1,1,1071,61260,36960,86400,960,-122.27561711137906,47.66519320067752,131.5417873
b2b-all-2353887-1-5hdv-d-14-61-db2b14-,5,b2b-all-2353887-1-5hdv-d-14,1,1,3754,65160,0,0,0,-121.96997707108169,47.85466090083877,0.0
b2b-all-2353889-1-6hdv-d-15-61-db2b15,0,b2b-all-2353889-1-6hdv-d-15,1,1,3184,20040,0,0,0,-122.66808420396303,47.10635009599398,385.5535145
b2b-all-2353889-1-6hdv-d-15-61-b2b1958,1,b2b-all-2353889-1-6hdv-d-15,1,1,3522,29820,27060,86400,780,-122.26757918478222,47.90939659431056,129.72741782
b2b-all-2353889-1-6hdv-d-15-61-b2b1957,2,b2b-all-2353889-1-6hdv-d-15,1,1,3518,32520,32520,86400,660,-122.2748520568174,47.90706400251691,126.09867886
b2b-all-2353889-1-6hdv-d-15-61-b2b1959,3,b2b-all-2353889-1-6hdv-d-15,1,1,3513,33780,33780,86400,600,-122.2600024700984,47.87263913986786,129.72741782
b2b-all-2353889-1-6hdv-d-15-61-db2b15-,4,b2b-all-2353889-1-6hdv-d-15,1,1,3184,43020,0,0,0,-122.66808420396303,47.10635009599398,0.0
b2b-all-2355274-1-7md-d-16-61-db2b16,0,b2b-all-2355274-1-7md-d-16,1,1,3630,31320,0,0,0,-122.26602138049964,47.83062485195299,392.35740005
b2b-all-2355274-1-7md-d-16-61-b2b518,1,b2b-all-2355274-1-7md-d-16,1,1,1873,39000,39000,86400,660,-122.29490154872872,47.41354815351461,130.63460256000002
b2b-all-2355274-1-7md-d-16-61-b2b519,2,b2b-all-2355274-1-7md-d-16,1,1,1732,41340,31200,86400,300,-122.16149378389451,47.476504333278136,131.08819493000001
b2b-all-2355274-1-7md-d-16-61-b2b517,3,b2b-all-2355274-1-7md-d-16,1,1,3830,47640,25560,86400,540,-122.15789427895795,48.05239869662187,130.63460256000002
b2b-all-2355274-1-7md-d-16-61-db2b16-,4,b2b-all-2355274-1-7md-d-16,1,1,3630,50580,0,0,0,-122.26602138049964,47.83062485195299,0.0
b2b-all-28092-1-8md-d-17-61-db2b17,0,b2b-all-28092-1-8md-d-17,1,1,3873,19800,0,0,0,-121.9994733158405,48.22073751051053,3628.73896
b2b-all-28092-1-8md-d-17-61-b2b195,1,b2b-all-28092-1-8md-d-17,1,1,3525,25740,25740,86400,3480,-122.23457088117893,47.92128933190423,3628.73896
b2b-all-28092-1-8md-d-17-61-db2b17-,2,b2b-all-28092-1-8md-d-17,1,1,3873,33300,0,0,0,-121.9994733158405,48.22073751051053,0.0
b2b-all-28092-1-8md-d-18-61-db2b18,0,b2b-all-28092-1-8md-d-18,1,1,3873,26460,0,0,0,-121.9994733158405,48.22073751051053,3628.73896
b2b-all-28092-1-8md-d-18-61-b2b196,1,b2b-all-28092-1-8md-d-18,1,1,3525,32400,32400,86400,2340,-122.23367643589174,47.917215584874754,3628.73896
b2b-all-28092-1-8md-d-18-61-db2b18-,2,b2b-all-28092-1-8md-d-18,1,1,3873,38820,0,0,0,-121.9994733158405,48.22073751051053,0.0
b2b-all-28092-1-8md-d-19-61-db2b19,0,b2b-all-28092-1-8md-d-19,1,1,3873,33060,0,0,0,-121.9994733158405,48.22073751051053,3628.73896
b2b-all-28092-1-8md-d-19-61-b2b197,1,b2b-all-28092-1-8md-d-19,1,1,3525,39000,39000,86400,1620,-122.2383474752596,47.9190830338993,3628.73896
b2b-all-28092-1-8md-d-19-61-db2b19-,2,b2b-all-28092-1-8md-d-19,1,1,3873,44700,0,0,0,-121.9994733158405,48.22073751051053,0.0
b2b-all-28092-1-8md-d-20-61-db2b20,0,b2b-all-28092-1-8md-d-20,1,1,3873,25620,0,0,0,-121.9994733158405,48.22073751051053,3628.73896
b2b-all-28092-1-8md-d-20-61-b2b198,1,b2b-all-28092-1-8md-d-20,1,1,3525,31560,31560,86400,3180,-122.23591754423197,47.91767278283491,3628.73896
b2b-all-28092-1-8md-d-20-61-db2b20-,2,b2b-all-28092-1-8md-d-20,1,1,3873,38820,0,0,0,-121.9994733158405,48.22073751051053,0.0
b2b-all-28092-1-8md-d-21-61-db2b21,0,b2b-all-28092-1-8md-d-21,1,1,3873,28680,0,0,0,-121.9994733158405,48.22073751051053,3628.73896
b2b-all-28092-1-8md-d-21-61-b2b199,1,b2b-all-28092-1-8md-d-21,1,1,3525,34620,34620,86400,600,-122.23553727737377,47.921152833420905,3628.73896
b2b-all-28092-1-8md-d-21-61-db2b21-,2,b2b-all-28092-1-8md-d-21,1,1,3873,39300,0,0,0,-121.9994733158405,48.22073751051053,0.0
b2b-all-28092-1-8md-d-22-61-db2b22,0,b2b-all-28092-1-8md-d-22,1,1,3873,25860,0,0,0,-121.9994733158405,48.22073751051053,1446.9596603
b2b-all-28092-1-8md-d-22-61-b2b200,1,b2b-all-28092-1-8md-d-22,1,1,3525,31800,31800,86400,360,-122.22812656897771,47.92298184089968,1446.9596603
b2b-all-28092-1-8md-d-22-61-db2b22-,2,b2b-all-28092-1-8md-d-22,1,1,3873,36240,0,0,0,-121.9994733158405,48.22073751051053,0.0
b2b-all-29411-2-9md-d-23-61-db2b23,0,b2b-all-29411-2-9md-d-23,1,1,3860,12600,0,0,0,-122.16669982272528,48.26526223933203,3628.73896
b2b-all-29411-2-9md-d-23-61-b2b190,1,b2b-all-29411-2-9md-d-23,1,1,3543,18120,18120,86400,540,-122.3149952188245,47.89559657391758,3628.73896
b2b-all-29411-2-9md-d-23-61-db2b23-,2,b2b-all-29411-2-9md-d-23,1,1,3860,20820,0,0,0,-122.16669982272528,48.26526223933203,0.0
b2b-all-29411-2-9md-d-24-61-db2b24,0,b2b-all-29411-2-9md-d-24,1,1,3860,15060,0,0,0,-122.16669982272528,48.26526223933203,3628.73896
b2b-all-29411-2-9md-d-24-61-b2b189,1,b2b-all-29411-2-9md-d-24,1,1,3543,21600,21600,86400,1500,-122.3318346028638,47.88173843731133,3628.73896
b2b-all-29411-2-9md-d-24-61-db2b24-,2,b2b-all-29411-2-9md-d-24,1,1,3860,25260,0,0,0,-122.16669982272528,48.26526223933203,0.0
b2b-all-29411-2-9md-d-25-61-db2b25,0,b2b-all-29411-2-9md-d-25,1,1,3860,17760,0,0,0,-122.16669982272528,48.26526223933203,3628.73896
b2b-all-29411-2-9md-d-25-61-b2b188,1,b2b-all-29411-2-9md-d-25,1,1,3543,24300,24300,86400,1560,-122.32624943023782,47.88936664667814,3628.73896
b2b-all-29411-2-9md-d-25-61-db2b25-,2,b2b-all-29411-2-9md-d-25,1,1,3860,28020,0,0,0,-122.16669982272528,48.26526223933203,0.0
b2b-all-29411-2-9md-d-26-61-db2b26,0,b2b-all-29411-2-9md-d-26,1,1,3860,25020,0,0,0,-122.16669982272528,48.26526223933203,3628.73896
b2b-all-29411-2-9md-d-26-61-b2b187,1,b2b-all-29411-2-9md-d-26,1,1,3543,31560,31560,86400,3000,-122.32655715295516,47.899751246350206,3628.73896
b2b-all-29411-2-9md-d-26-61-db2b26-,2,b2b-all-29411-2-9md-d-26,1,1,3860,36720,0,0,0,-122.16669982272528,48.26526223933203,0.0
b2b-all-29411-2-9md-d-27-61-db2b27,0,b2b-all-29411-2-9md-d-27,1,1,3860,19800,0,0,0,-122.16669982272528,48.26526223933203,3628.73896
b2b-all-29411-2-9md-d-27-61-b2b186,1,b2b-all-29411-2-9md-d-27,1,1,3543,26340,26340,86400,3240,-122.31147925500912,47.89616989199005,3628.73896
b2b-all-29411-2-9md-d-27-61-db2b27-,2,b2b-all-29411-2-9md-d-27,1,1,3860,31740,0,0,0,-122.16669982272528,48.26526223933203,0.0
b2b-all-29411-2-9md-d-28-61-db2b28,0,b2b-all-29411-2-9md-d-28,1,1,3860,14220,0,0,0,-122.16669982272528,48.26526223933203,3628.73896
b2b-all-29411-2-9md-d-28-61-b2b185,1,b2b-all-29411-2-9md-d-28,1,1,3543,20760,20760,86400,3420,-122.31042393246965,47.895152801440055,3628.73896
b2b-all-29411-2-9md-d-28-61-db2b28-,2,b2b-all-29411-2-9md-d-28,1,1,3860,26340,0,0,0,-122.16669982272528,48.26526223933203,0.0
b2b-all-29411-2-9md-d-29-61-db2b29,0,b2b-all-29411-2-9md-d-29,1,1,3860,13380,0,0,0,-122.16669982272528,48.26526223933203,1911.89183955
b2b-all-29411-2-9md-d-29-61-b2b191,1,b2b-all-29411-2-9md-d-29,1,1,3543,19920,19920,86400,1080,-122.3185067390779,47.89543642206433,1911.89183955
b2b-all-29411-2-9md-d-29-61-db2b29-,2,b2b-all-29411-2-9md-d-29,1,1,3860,23160,0,0,0,-122.16669982272528,48.26526223933203,0.0
b2b-all-29411-2-9hdt-d-30-61-db2b30,0,b2b-all-29411-2-9hdt-d-30,1,1,3860,30720,0,0,0,-122.16669982272528,48.26526223933203,16329.32532
