payloadId,sequenceRank,tourId,payloadType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,activityType,fleetType,operationDurationInSecOG
b2b-310-0,0,b2b-310,mfr_goods,530610408002,27000,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,2638.54681629,delivery-only,loading,,0
b2b-310-1,1,b2b-310,mfr_goods,530610533014,29220,27000,115200,1200,-122.37107080960885,48.24821342844997,530579408001.0,712000,339990,394.62536190000003,delivery-only,unloading,private,1200
b2b-310-2,2,b2b-310,mfr_goods,530530728001,45480,27000,115200,420,-122.64892865109543,47.09854950461892,530670112003.0,611100,339990,2243.9214543900002,delivery-only,unloading,private,420
b2b-310-3,3,b2b-310,mfr_goods,530610408002,70740,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-317-0,0,b2b-317,mfr_goods,530610408002,27000,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,791.9722780200001,delivery-only,loading,,0
b2b-317-1,1,b2b-317,mfr_goods,530330292061,33240,27000,93600,480,-122.22299556451529,47.403327228350754,530330292061.0,424400,339990,791.9722780200001,delivery-only,unloading,private,480
b2b-317-2,2,b2b-317,mfr_goods,530610408002,42780,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-323-0,0,b2b-323,mfr_goods,530610408002,27000,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,1715.93993571,delivery-only,loading,,0
b2b-323-1,1,b2b-323,mfr_goods,530330203005,29400,27000,93600,480,-122.34465194376484,47.774175771919296,530330203005.0,812200,339990,131.99537967,delivery-only,unloading,private,480
b2b-323-2,2,b2b-323,mfr_goods,530530605002,35220,27000,93600,780,-122.46656229301088,47.27458103666674,530530605002.0,336390,339990,1583.9445560400002,delivery-only,unloading,private,780
b2b-323-3,3,b2b-323,mfr_goods,530610408002,57180,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,0.0,delivery-only,loading,,0
b2b-332-0,0,b2b-332,mfr_goods,530610408002,27000,0,0,0,-122.20740921411743,47.97867025191261,530610408002.0,,,791.9722780200001,delivery-only,loading,,0
b2b-332-1,1,b2b-332,mfr_goods,530530605002,34980,27000,93600,1200,-122.46656229301088,47.27458103666674,530530605002.0,336390,339990,131.99537967,delivery-only,unloading,private,1200
b2b-332-2,2,b2b-332,mfr_goods,530530712073,36180,27000,93600,360,-122.2920044493039,47.16297907917932,530530712073.0,4A0000,339990,131.99537967,delivery-only,unloading,private,360
