level_0,payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,distance,weightInKg,deliveryType,fleetType
61181,61-b2b10764,2,b2b-11041,bulk,unloading,2394,44820,40980,86400,2940,-122.66490677314536,47.79867760319148,2394.0,311210,1111B0,48.86921725073629,9071.8474,pickup-delivery,for-hire
61182,61-b2b10755,3,b2b-11041,bulk,loading,3761,52740,24420,79200,1380,-122.03073532805638,47.92453282326704,3761.0,311119,1111B0,48.86921725073629,9071.8474,pickup-delivery,for-hire
61183,61-b2b10755,4,b2b-11041,bulk,unloading,3232,62700,25800,86400,1080,-122.29507379470655,47.11428109079613,3232.0,311119,1111B0,83.85438853726133,9071.8474,pickup-delivery,for-hire
61184,61-db2b11041-,5,b2b-11041,bulk,loading,3895,76860,0,0,0,-121.41045972046028,48.1863463367089,4195.0,,,127.36897999610568,0.0,pickup-delivery,
61219,61-db2b11047,0,b2b-11047,mfr_goods,loading,2128,25800,0,0,0,-121.47570027834682,47.10458526658929,4740.0,,,0.0,0.0,pickup-delivery,
61220,61-b2b16992,1,b2b-11047,mfr_goods,loading,3839,37680,28800,79200,1020,-122.22691180067416,48.18110962381211,3839.0,621300,334516,103.98602527476284,213.64200627000002,pickup-delivery,for-hire
61221,61-b2b16316,2,b2b-11047,mfr_goods,loading,3739,40740,33600,79200,900,-122.01713828302655,47.86280181071788,3739.0,4A0000,323110,33.78581898802205,130.63460256000002,pickup-delivery,for-hire
61222,61-b2b16316,3,b2b-11047,mfr_goods,unloading,1507,43620,34500,86400,1080,-122.20691820265915,47.72508091458028,1507.0,4A0000,323110,19.37826869682672,130.63460256000002,pickup-delivery,for-hire
61223,61-b2b16992,4,b2b-11047,mfr_goods,unloading,1366,46920,29820,86400,1020,-122.31752618822578,47.52322344155646,1366.0,621300,334516,22.156432551399405,213.64200627000002,pickup-delivery,for-hire
61224,61-db2b11047-,5,b2b-11047,mfr_goods,loading,2128,53700,0,0,0,-121.47570027834682,47.10458526658929,4740.0,,,56.35443343495787,0.0,pickup-delivery,
61225,61-db2b11048,0,b2b-11048,bulk,loading,2128,23280,0,0,0,-121.47570027834682,47.10458526658929,4740.0,,,0.0,0.0,pickup-delivery,
