carrierId,level_0,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY,mesoZone,distance
22280601-2748hdt-d,54635,b2b-54635,22280601-2748hdt-d-c53-205880,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22280821-2752hdt-d,54639,b2b-54639,22280821-2752hdt-d-c53-205996,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22281611-2757hdt-d,54644,b2b-54644,22281611-2757hdt-d-c53-206141,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22283431-2775hdt-d,54662,b2b-54662,22283431-2775hdt-d-c53-206663,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
22284601-2785hdt-d,54672,b2b-54672,22284601-2785hdt-d-c53-206953,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20010.0,100.3159822627136
22284671-2786hdt-d,54673,b2b-54673,22284671-2786hdt-d-c53-206982,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20010.0,62.662687697766174
22284761-2788hdt-d,54675,b2b-54675,22284761-2788hdt-d-c53-207040,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20010.0,98.70509556820946
22285361-2808hdt-d,54695,b2b-54695,22285361-2808hdt-d-c53-207620,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20010.0,83.71685376360244
22288981-2833hdt-d,54720,b2b-54720,22288981-2833hdt-d-c53-208345,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20012.0,97.27057357576344
22289581-2839hdt-d,54726,b2b-54726,22289581-2839hdt-d-c53-208519,hdt-D-Diesel-2018-Baseline,3249,-122.20981561308568,46.79960290846447,20012.0,77.22557146357349
22320331-2860hdt-d,54748,b2b-54748,22320331-2860hdt-d-c53-209118,hdt-D-Diesel-2018-Baseline,2128,-121.47570027834682,47.10458526658929,20033.0,108.82898204179332
22327841-2868hdt-d,54756,b2b-54756,22327841-2868hdt-d-c53-209340,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20034.0,240.26658712154017
22352821-2878hdt-d,54766,b2b-54766,22352821-2878hdt-d-c53-209610,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20041.0,240.26658712154017
22360241-2883hdt-d,54771,b2b-54771,22360241-2883hdt-d-c53-209745,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20046.0,240.26658712154017
22389081-2893hdt-d,54781,b2b-54781,22389081-2893hdt-d-c53-210015,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20061.0,240.26658712154017
22389361-2895hdt-d,54783,b2b-54783,22389361-2895hdt-d-c53-210069,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20061.0,240.26658712154017
22393701-2907hdt-d,54795,b2b-54795,22393701-2907hdt-d-c53-210393,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20062.0,254.9829731512781
22408451-2927hdt-d,54815,b2b-54815,22408451-2927hdt-d-c53-210933,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20067.0,260.6875309476485
22408971-2930hdt-d,54819,b2b-54819,22408971-2930hdt-d-c53-211014,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20068.0,240.26658712154017
22413911-2938hdt-d,54827,b2b-54827,22413911-2938hdt-d-c53-211230,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20069.0,246.2277562065387
22441801-2952hdt-d,54841,b2b-54841,22441801-2952hdt-d-c53-211612,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20086.0,252.71638883948413
22444711-2959hdt-d,54848,b2b-54848,22444711-2959hdt-d-c53-211801,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,20086.0,258.07211082595245
22460271-2970hdt-d,54861,b2b-54861,22460271-2970hdt-d-c53-212108,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,5018.0,90.67164157250228
22460921-3000hdt-d,54898,b2b-54898,22460921-3000hdt-d-c53-212932,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,5135.0,178.60023176533184
22461211-3011hdt-d,54911,b2b-54911,22461211-3011hdt-d-c53-213237,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,5281.0,54.97109884095302
22461281-3014hdt-d,54914,b2b-54914,22461281-3014hdt-d-c53-213318,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,5189.0,98.29324812730276
22461541-3030hdt-d,54935,b2b-54935,22461541-3030hdt-d-c53-213779,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,5763.0,101.5526363658792
22461901-3041hdt-d,54947,b2b-54947,22461901-3041hdt-d-c53-214095,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,6140.0,84.50165486816525
22461991-3046hdt-d,54952,b2b-54952,22461991-3046hdt-d-c53-214230,hdt-D-Diesel-2018-Baseline,3205,-122.3834825564397,46.88687391044784,6197.0,92.40373948317796
22462301-3060hdt-d,54972,b2b-54972,22462301-3060hdt-d-c53-214608,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,6217.0,89.42439008266592
22462311-3061hdt-d,54973,b2b-54973,22462311-3061hdt-d-c53-214635,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20095.0,115.85402750335888
22462361-3062hdt-d,54974,b2b-54974,22462361-3062hdt-d-c53-214662,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20095.0,71.45885372917616
22505321-3156hdt-d,55073,b2b-55073,22505321-3156hdt-d-c53-217244,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20119.0,108.71185857417532
22514251-3161hdt-d,55078,b2b-55078,22514251-3161hdt-d-c53-217389,hdt-D-Diesel-2018-Baseline,1774,-122.29294126153188,47.50153023325917,1774.0,99.3333916018404
22514401-3175hdt-d,55093,b2b-55093,22514401-3175hdt-d-c53-217795,hdt-D-Diesel-2018-Baseline,1292,-122.38393551475538,47.579823142130365,1292.0,113.89662085388728
22515101-3217hdt-d,55141,b2b-55141,22515101-3217hdt-d-c53-219011,hdt-D-Diesel-2018-Baseline,2501,-122.72923196736552,47.45157200418882,2501.0,121.00035947564557
22515161-3223hdt-d,55148,b2b-55148,22515161-3223hdt-d-c53-219173,hdt-D-Diesel-2018-Baseline,2374,-122.70358583604968,47.53936769114152,2374.0,169.1902474427494
22515601-3257hdt-d,55196,b2b-55196,22515601-3257hdt-d-c53-220165,hdt-D-Diesel-2018-Baseline,2965,-122.19411396283488,47.0971273768216,2965.0,134.53384978799778
22515601-3258hdt-d,55198,b2b-55198,22515601-3258hdt-d-c53-220197,hdt-D-Diesel-2018-Baseline,2965,-122.19411396283488,47.0971273768216,2965.0,94.15124500725294
22515631-3263hdt-d,55207,b2b-55207,22515631-3263hdt-d-c53-220362,hdt-D-Diesel-2018-Baseline,2978,-122.33960594535536,47.15883282698942,2978.0,85.77851009243632
