taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls,timeRestrictions
,Public,NoCharger,non-res,,,-122.3394532,47.6097242,520101,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3375389,47.6079392,520102,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3167296,47.6150753,520115,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3413432,47.6115966,520124,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3494735,47.6150276,520147,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3424337,47.6134295,520150,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3441879,47.6142372,520157,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3391265,47.6079868,520158,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3391872,47.6094335,520160,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3371976,47.6056078,520167,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3464146,47.6155721,520181,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3592673,47.6200064,520204,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3351553,47.6053337,520223,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3435643,47.6115368,520299,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3301952,47.6001969,520311,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3195564,47.614596,520341,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3483241,47.6167008,520342,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3386878,47.609195,520351,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3464289,47.6145925,520384,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3592667,47.6200803,520392,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3428377,47.6124786,520430,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3316894,47.5985298,520449,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3396501,47.6082882,520485,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3167242,47.613599,520488,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3454928,47.6126734,520526,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3363254,47.6049673,520535,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3457052,47.6151339,520537,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3516439,47.6165221,520552,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3386451,47.6091484,520560,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3301597,47.6006206,520561,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3481451,47.6144387,520563,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3397927,47.6100952,520595,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3316977,47.600741,520623,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3193243,47.6132405,520627,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.34191,47.6107474,520640,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3423112,47.6107953,520642,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3344512,47.6042565,520653,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3329184,47.6028877,520663,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3555015,47.623554,520675,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3168934,47.6085933,520695,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.348375,47.6143671,520708,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3592911,47.6215984,520721,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3377748,47.6078791,520723,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.344389,47.6122211,520727,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3195539,47.61386,520731,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3365056,47.6048516,520733,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3195482,47.6133285,520747,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3421327,47.6106897,520769,Any,Block,0.0,1.0,
,Commercial,NoCharger,non-res,,,-122.3404861,47.6122634,520813,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3128081,47.6194514,520847,Any,Block,0.0,1.0,
,Public,NoCharger,non-res,,,-122.3555113,47.6218623,520868,Any,Block,0.0,1.0,
