"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(15, 20]","(-20, -19]","(30839.002, 31292.517]",0.0147428661903699
"(15, 20]","(-20, -19]","(31292.517, 31746.032]",0.0147428661903699
"(15, 20]","(-20, -19]","(31746.032, 32199.546]",0.0152050689688669
"(15, 20]","(-20, -19]","(32199.546, 32653.061]",0.0159465362720661
"(15, 20]","(-20, -19]","(32653.061, 33106.576]",0.0159465362720661
"(15, 20]","(-20, -19]","(33106.576, 33560.091]",0.0159465362720661
"(15, 20]","(-20, -19]","(33560.091, 34013.605]",0.0159465362720661
"(15, 20]","(-20, -19]","(34013.605, 34467.12]",0.0159465362720661
"(15, 20]","(-20, -19]","(34467.12, 34920.635]",0.0159465362720661
"(15, 20]","(-20, -19]","(34920.635, 35374.15]",0.0159465362720661
"(15, 20]","(-20, -19]","(35374.15, 35827.664]",0.0159465362720661
"(15, 20]","(-20, -19]","(35827.664, 36281.179]",0.0159465362720661
"(20, 25]","(-20, -19]","(11337.868, 11791.383]",0.0337331984036098
"(20, 25]","(-20, -19]","(11791.383, 12244.898]",0.0198228122646979
"(20, 25]","(-20, -19]","(12244.898, 12698.413]",0.0198228122646979
"(20, 25]","(-20, -19]","(12698.413, 13151.927]",0.0198228122646979
"(20, 25]","(-20, -19]","(13151.927, 13605.442]",0.0176661258877819
"(20, 25]","(-20, -19]","(13605.442, 14058.957]",0.0176661258877819
"(20, 25]","(-20, -19]","(14058.957, 14512.472]",0.0176661258877819
"(20, 25]","(-20, -19]","(14512.472, 14965.986]",0.0176661258877819
"(20, 25]","(-20, -19]","(14965.986, 15419.501]",0.0153058499152899
"(20, 25]","(-20, -19]","(15419.501, 15873.016]",0.00927577905431201
"(20, 25]","(-20, -19]","(15873.016, 16326.531]",0.00836630742424621
"(20, 25]","(-20, -19]","(16326.531, 16780.045]",0.00882233169798492
"(20, 25]","(-20, -19]","(16780.045, 17233.56]",0.00882233169798492
"(20, 25]","(-20, -19]","(17233.56, 17687.075]",0.00882233169798492
"(20, 25]","(-20, -19]","(17687.075, 18140.59]",0.00986343266747837
"(20, 25]","(-20, -19]","(18140.59, 18594.104]",0.0115745367025718
"(20, 25]","(-20, -19]","(18594.104, 19047.619]",0.0115745367025718
"(20, 25]","(-20, -19]","(19047.619, 19501.134]",0.0161667398839204
"(20, 25]","(-20, -19]","(19501.134, 19954.649]",0.0232068957035749
"(20, 25]","(-20, -19]","(19954.649, 20408.163]",0.0339674472078912
