"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(10, 15]","(-20, -19]","(29931.973, 30385.488]",-12.7077540092689
"(10, 15]","(-20, -19]","(30385.488, 30839.002]",-12.7077540092689
"(10, 15]","(-20, -19]","(30839.002, 31292.517]",-12.7077540092689
"(10, 15]","(-20, -19]","(31292.517, 31746.032]",-12.7077540092689
"(10, 15]","(-20, -19]","(31746.032, 32199.546]",-12.7077540092689
"(10, 15]","(-20, -19]","(32199.546, 32653.061]",-12.7077540092689
"(10, 15]","(-20, -19]","(32653.061, 33106.576]",-12.7077540092689
"(10, 15]","(-20, -19]","(33106.576, 33560.091]",-12.7077540092689
"(10, 15]","(-20, -19]","(33560.091, 34013.605]",-11.8052385366332
"(10, 15]","(-20, -19]","(34013.605, 34467.12]",-11.8052385366332
"(10, 15]","(-20, -19]","(34467.12, 34920.635]",-12.118976598577
"(10, 15]","(-20, -19]","(34920.635, 35374.15]",-12.118976598577
"(10, 15]","(-20, -19]","(35374.15, 35827.664]",-12.118976598577
"(10, 15]","(-20, -19]","(35827.664, 36281.179]",-12.118976598577
"(15, 20]","(-20, -19]","(11337.868, 11791.383]",-10.0270753875821
"(15, 20]","(-20, -19]","(11791.383, 12244.898]",-10.0270753875821
"(15, 20]","(-20, -19]","(12244.898, 12698.413]",-10.0270753875821
"(15, 20]","(-20, -19]","(12698.413, 13151.927]",-10.0270753875821
"(15, 20]","(-20, -19]","(13151.927, 13605.442]",-10.0270753875821
"(15, 20]","(-20, -19]","(13605.442, 14058.957]",-10.0270753875821
"(15, 20]","(-20, -19]","(14058.957, 14512.472]",-10.0270753875821
"(15, 20]","(-20, -19]","(14512.472, 14965.986]",-10.0270753875821
"(15, 20]","(-20, -19]","(14965.986, 15419.501]",-9.8506759574896
"(15, 20]","(-20, -19]","(15419.501, 15873.016]",-9.8506759574896
"(15, 20]","(-20, -19]","(15873.016, 16326.531]",-9.8506759574896
"(15, 20]","(-20, -19]","(16326.531, 16780.045]",-10.1016115164195
"(15, 20]","(-20, -19]","(16780.045, 17233.56]",-10.4006610251207
"(15, 20]","(-20, -19]","(17233.56, 17687.075]",-10.4006610251207
"(15, 20]","(-20, -19]","(17687.075, 18140.59]",-10.4006610251207
"(15, 20]","(-20, -19]","(18140.59, 18594.104]",-10.4006610251207
"(15, 20]","(-20, -19]","(18594.104, 19047.619]",-10.4006610251207
"(15, 20]","(-20, -19]","(19047.619, 19501.134]",-10.4006610251207
"(15, 20]","(-20, -19]","(19501.134, 19954.649]",-10.4006610251207
"(15, 20]","(-20, -19]","(19954.649, 20408.163]",-10.4006610251207
"(15, 20]","(-20, -19]","(20408.163, 20861.678]",-10.4006610251207
"(15, 20]","(-20, -19]","(20861.678, 21315.193]",-10.4006610251207
"(15, 20]","(-20, -19]","(21315.193, 21768.707]",-10.4006610251207
"(15, 20]","(-20, -19]","(21768.707, 22222.222]",-10.4006610251207
"(15, 20]","(-20, -19]","(22222.222, 22675.737]",-10.4006610251207
"(15, 20]","(-20, -19]","(22675.737, 23129.252]",-10.4006610251207
"(15, 20]","(-20, -19]","(23129.252, 23582.766]",-10.363984140118
"(15, 20]","(-20, -19]","(23582.766, 24036.281]",-10.363984140118
"(15, 20]","(-20, -19]","(24036.281, 24489.796]",-10.363984140118
"(15, 20]","(-20, -19]","(24489.796, 24943.311]",-10.6369648901656
"(15, 20]","(-20, -19]","(24943.311, 25396.825]",-10.6369648901656
"(15, 20]","(-20, -19]","(25396.825, 25850.34]",-10.6369648901656
"(15, 20]","(-20, -19]","(25850.34, 26303.855]",-10.6369648901656
"(15, 20]","(-20, -19]","(26303.855, 26757.37]",-10.8168582942147
"(15, 20]","(-20, -19]","(26757.37, 27210.884]",-10.8168582942147
"(15, 20]","(-20, -19]","(27210.884, 27664.399]",-10.8168582942147
"(15, 20]","(-20, -19]","(27664.399, 28117.914]",-10.8168582942147
"(15, 20]","(-20, -19]","(28117.914, 28571.429]",-10.8168582942147
"(15, 20]","(-20, -19]","(28571.429, 29024.943]",-10.8168582942147
"(15, 20]","(-20, -19]","(29024.943, 29478.458]",-10.8168582942147
"(15, 20]","(-20, -19]","(29478.458, 29931.973]",-10.8168582942147
"(15, 20]","(-20, -19]","(29931.973, 30385.488]",-10.8168582942147
"(15, 20]","(-20, -19]","(30385.488, 30839.002]",-10.8168582942147
"(15, 20]","(-20, -19]","(30839.002, 31292.517]",-10.8168582942147
"(15, 20]","(-20, -19]","(31292.517, 31746.032]",-10.8168582942147
"(15, 20]","(-20, -19]","(31746.032, 32199.546]",-10.8168582942147
"(15, 20]","(-20, -19]","(32199.546, 32653.061]",-10.8168582942147
"(15, 20]","(-20, -19]","(32653.061, 33106.576]",-10.8168582942147
"(15, 20]","(-20, -19]","(33106.576, 33560.091]",-10.8168582942147
"(15, 20]","(-20, -19]","(33560.091, 34013.605]",-11.0262367714751
"(15, 20]","(-20, -19]","(34013.605, 34467.12]",-11.0262367714751
"(15, 20]","(-20, -19]","(34467.12, 34920.635]",-11.3399748334189
"(15, 20]","(-20, -19]","(34920.635, 35374.15]",-11.3399748334189
"(15, 20]","(-20, -19]","(35374.15, 35827.664]",-11.3399748334189
"(15, 20]","(-20, -19]","(35827.664, 36281.179]",-11.3399748334189
"(20, 25]","(-20, -19]","(11337.868, 11791.383]",-9.52901166200214
"(20, 25]","(-20, -19]","(11791.383, 12244.898]",-9.52901166200214
"(20, 25]","(-20, -19]","(12244.898, 12698.413]",-9.52901166200214
"(20, 25]","(-20, -19]","(12698.413, 13151.927]",-9.52901166200214
"(20, 25]","(-20, -19]","(13151.927, 13605.442]",-9.52901166200214
"(20, 25]","(-20, -19]","(13605.442, 14058.957]",-9.52901166200214
"(20, 25]","(-20, -19]","(14058.957, 14512.472]",-9.52901166200214
"(20, 25]","(-20, -19]","(14512.472, 14965.986]",-9.52901166200214
"(20, 25]","(-20, -19]","(14965.986, 15419.501]",-9.3526122319096
"(20, 25]","(-20, -19]","(15419.501, 15873.016]",-9.3526122319096
"(20, 25]","(-20, -19]","(15873.016, 16326.531]",-9.3526122319096
"(20, 25]","(-20, -19]","(16326.531, 16780.045]",-9.60354779083952
"(20, 25]","(-20, -19]","(16780.045, 17233.56]",-9.90259729954066
"(20, 25]","(-20, -19]","(17233.56, 17687.075]",-9.90259729954066
"(20, 25]","(-20, -19]","(17687.075, 18140.59]",-9.90259729954066
"(20, 25]","(-20, -19]","(18140.59, 18594.104]",-9.90259729954066
"(20, 25]","(-20, -19]","(18594.104, 19047.619]",-9.90259729954066
"(20, 25]","(-20, -19]","(19047.619, 19501.134]",-9.90259729954066
"(20, 25]","(-20, -19]","(19501.134, 19954.649]",-9.90259729954066
